Амурская область^Амурская область
Архангельская область (кроме Ненецкого автономного округа)^Архангельская область (кроме Ненецкого автономного округа)
Астраханская область^Астраханская область
Белгородская область^Белгородская область
Брянская область^Брянская область
Владимирская область^Владимирская область
Волгоградская область^Волгоградская область
Вологодская область^Вологодская область
Воронежская область^Воронежская область
г. Москва^Город Москва столица Российской Федерации город федерального значения
г. Севастополь^Город федерального значения Севастополь
г. Санкт-Петербург^Город Санкт-Петербург город федерального значения
Город Москва столица Российской Федерации город федерального значения^г. Москва
Город Санкт-Петербург город федерального значения^г.Санкт-Петербург
Город федерального значения Севастополь^г. Севастополь
Еврейская автономная область^Еврейская автономная область
Забайкальский край^Забайкальский край
Ивановская область^Ивановская область
Иркутская область^Иркутская область
Кабардино-Балкарская Республика^Кабардино-Балкарская Республика
Калининградская область^Калининградская область
Калужская область^Калужская область
Камчатский край^Камчатский край
Карачаево-Черкесская Республика^Карачаево-Черкесская Республика
Кемеровская область - Кузбасс^Кемеровская область - Кузбасс
Кировская область^Кировская область
Костромская область^Костромская область
Краснодарский край^Краснодарский край
Красноярский край^Красноярский край
Курганская область^Курганская область
Курская область^Курская область
Ленинградская область^Ленинградская область
Липецкая область^Липецкая область
Магаданская область^Магаданская область
Московская область^Московская область
Мурманская область^Мурманская область
Ненецкий автономный округ^Ненецкий автономный округ (Архангельская область)
Ненецкий автономный округ (Архангельская область)^Ненецкий автономный округ
Нижегородская область^Нижегородская область
Новгородская область^Новгородская область
Новосибирская область^Новосибирская область
Омская область^Омская область
Оренбургская область^Оренбургская область
Орловская область^Орловская область
Пензенская область^Пензенская область
Пермский край^Пермский край
Приморский край^Приморский край
Псковская область^Псковская область
Республика Адыгея^Республика Адыгея (Адыгея)
Республика Адыгея (Адыгея)^Республика Адыгея
Республика Алтай^Республика Алтай
Республика Башкортостан^Республика Башкортостан
Республика Бурятия^Республика Бурятия
Республика Дагестан^Республика Дагестан
Республика Ингушетия^Республика Ингушетия
Республика Калмыкия^Республика Калмыкия
Республика Карелия^Республика Карелия
Республика Коми^Республика Коми
Республика Крым^Республика Крым
Республика Марий Эл^Республика Марий Эл
Республика Мордовия^Республика Мордовия
Республика Саха (Якутия)^Республика Саха (Якутия)
Республика Северная Осетия - Алания^Республика Северная Осетия-Алания
Республика Северная Осетия-Алания^Республика Северная Осетия - Алания
Республика Татарстан^Республика Татарстан (Татарстан)
Республика Татарстан (Татарстан)^Республика Татарстан
Республика Тыва^Республика Тыва
Республика Хакасия^Республика Хакасия
Ростовская область^Ростовская область
Рязанская область^Рязанская область
Самарская область^Самарская область
Саратовская область^Саратовская область
Сахалинская область^Сахалинская область
Свердловская область^Свердловская область
Смоленская область^Смоленская область
Ставропольский край^Ставропольский край
Тамбовская область^Тамбовская область
Тверская область^Тверская область
Томская область^Томская область
Тульская область^Тульская область
Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа)^Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа)^Тюменская область (кроме Ханты-Мансийского автономного округа - Югры и Ямало-Ненецкого автономного округа)
Удмуртская Республика^Удмуртская Республика
Ульяновская область^Ульяновская область
Хабаровский край^Хабаровский край
Ханты-Мансийский автономный округ - Югра (Тюменская область)^Ханты-Мансийский автономный округ-Югра
Ханты-Мансийский автономный округ-Югра^Ханты-Мансийский автономный округ - Югра (Тюменская область)
Челябинская область^Челябинская область
Чеченская Республика^Чеченская Республика
Чувашская Республика^Чувашская Республика - Чувашия
Чувашская Республика - Чувашия^Чувашская Республика
Чукотский автономный округ^Чукотский автономный округ
Ямало-Ненецкий автономный округ^Ямало-Ненецкий автономный округ (Тюменская область)
Ямало-Ненецкий автономный округ (Тюменская область)^Ямало-Ненецкий автономный округ
Ярославская область^Ярославская область
